VehicleID,Count,Volume,TravelDistance,WorkTime,TravelTime,ServiceTime,WaitingTime,TotalCost,FixedCost,VariableCost
VEH_75,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_76,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_77,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_78,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_79,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_80,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_81,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_82,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_83,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_84,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_85,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_86,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_87,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_88,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_89,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_90,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_91,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_92,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_93,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_94,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_95,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_96,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_97,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_98,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_99,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_100,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_101,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_102,13,245.01,2120.45,4391.00,2279.00,780.00,1332.00,1856.36,160.00,1696.36
VEH_103,5,90.56,856.07,3360.00,918.00,300.00,2142.00,844.86,160.00,684.86
VEH_104,8,184.81,1779.81,4980.00,1889.00,480.00,2611.00,1583.85,160.00,1423.85
VEH_105,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_106,2,48.73,504.17,3971.00,511.00,120.00,3340.00,563.34,160.00,403.34
VEH_107,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_108,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_109,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_110,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_111,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_112,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_113,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_114,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_115,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_116,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_117,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_118,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_119,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_120,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_121,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_122,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_123,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_124,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_125,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_126,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_127,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_128,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_129,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_130,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_131,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_132,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_133,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_134,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_135,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_136,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_137,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_138,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_139,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_140,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_141,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_142,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_143,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_144,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_145,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_146,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_147,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_148,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_149,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_150,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_151,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_152,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_153,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_154,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_155,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_156,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_157,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_158,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_159,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_160,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_161,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_162,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_163,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_164,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_165,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_166,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_167,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_168,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_169,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_170,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_171,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_172,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_173,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_174,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_175,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_176,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_177,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_178,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_179,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_180,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_181,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_182,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_183,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_184,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_185,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_186,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_187,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_188,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_189,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_190,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_191,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_192,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_193,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_194,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_195,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_196,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_197,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_198,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_199,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_200,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_201,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_202,9,178.32,1369.05,4020.00,1509.00,540.00,1971.00,1255.24,160.00,1095.24
VEH_203,4,89.01,791.96,4380.00,845.00,240.00,3295.00,793.57,160.00,633.57
VEH_204,6,135.87,981.40,4800.00,1032.00,360.00,3408.00,945.12,160.00,785.12
VEH_205,5,96.01,1440.99,4800.00,1464.00,300.00,3036.00,1312.79,160.00,1152.79
VEH_206,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_207,11,217.42,1746.95,7860.00,1940.00,660.00,5260.00,1557.56,160.00,1397.56
VEH_208,6,123.09,728.13,5629.00,812.00,360.00,4457.00,742.51,160.00,582.51
VEH_209,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_210,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_211,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_212,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_213,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_214,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_215,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_216,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_217,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_218,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_219,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_220,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_221,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_222,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_223,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_224,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_225,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_226,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_227,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_228,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_229,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_230,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_231,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_232,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_233,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_234,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_235,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_236,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_237,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_238,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_239,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_240,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_241,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_242,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_243,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_244,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_245,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_246,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_247,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_248,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_249,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_250,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_251,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_252,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_253,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_254,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_255,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_256,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_257,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_258,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_259,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_260,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_261,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_262,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_263,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_264,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_265,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_266,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_267,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_268,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_269,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_270,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_271,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_272,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_273,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_274,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_275,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_276,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_277,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_278,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_279,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_280,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_281,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_282,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_283,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_284,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_285,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_286,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_287,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_288,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_289,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_290,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_291,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_292,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_293,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_294,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_295,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_296,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_297,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_298,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_299,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_300,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_301,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_302,8,158.91,1401.69,3612.00,1478.00,480.00,1654.00,1281.35,160.00,1121.35
VEH_303,3,66.61,903.19,4380.00,897.00,180.00,3303.00,882.55,160.00,722.55
VEH_304,5,85.95,885.63,1543.00,897.00,300.00,346.00,868.50,160.00,708.50
VEH_305,10,194.99,1726.33,5321.00,1787.00,600.00,2934.00,1541.07,160.00,1381.07
VEH_306,8,171.84,1218.51,4380.00,1301.00,480.00,2599.00,1134.81,160.00,974.81
VEH_307,12,217.56,1613.29,4552.00,1757.00,720.00,2075.00,1450.63,160.00,1290.63
VEH_308,5,103.55,971.22,2940.00,989.00,300.00,1651.00,936.98,160.00,776.98
VEH_309,7,138.69,1571.40,3621.00,1637.00,420.00,1564.00,1417.12,160.00,1257.12
VEH_310,6,120.71,850.73,5460.00,932.00,360.00,4168.00,840.58,160.00,680.58
VEH_311,9,189.08,1501.79,4217.00,1590.00,540.00,2087.00,1361.43,160.00,1201.43
VEH_312,9,165.08,1372.91,6900.00,1443.00,540.00,4917.00,1258.33,160.00,1098.33
VEH_313,5,85.42,1018.93,2580.00,1053.00,300.00,1227.00,975.14,160.00,815.14
