ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered,cbm,start,end,group
Null,VEH_3,5,O_819,2023-05-16 19:43,0,0,2023-05-16 19:43,Null,0.0,0,1440,-1
M18409757,VEH_3,6,D_295,2023-05-16 19:00,300,60,2023-05-17 01:00,Yes,9.8,0,360,7
Null,VEH_3,7,O_276,2023-05-17 07:08,0,0,2023-05-17 07:08,Null,0.0,0,1440,-1
20230517B002852_001,VEH_3,8,D_108,2023-05-17 08:54,66,60,2023-05-17 11:00,Yes,23.47,600,1020,9
Null,VEH_3,9,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230517B002490_002,VEH_3,10,D_1,Null,Null,Null,Null,No,23.61,600,1020,10
Null,VEH_4,1,O_640,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
MF2305166311626,VEH_4,2,D_1277,2023-05-16 02:33,267,60,2023-05-16 08:00,Yes,25.15,420,900,4
Null,VEH_5,1,O_640,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
MF2305166311985,VEH_5,2,D_1341,2023-05-16 05:00,120,60,2023-05-16 08:00,Yes,24.69,420,900,2
Null,VEH_5,3,O_800,2023-05-16 09:39,0,0,2023-05-16 09:39,Null,0.0,0,1440,-1
20230515B498236_001,VEH_5,4,D_114,2023-05-16 09:40,20,60,2023-05-16 11:00,Yes,22.02,600,1020,5
Null,VEH_5,5,O_800,2023-05-16 12:39,0,0,2023-05-16 12:39,Null,0.0,0,1440,-1
20230515B498300_001,VEH_5,6,D_199,2023-05-16 13:03,0,60,2023-05-16 14:03,Yes,23.02,420,900,6
Null,VEH_5,7,O_279,2023-05-16 18:31,0,0,2023-05-16 18:31,Null,0.0,0,1440,-1
20230515B496557_001,VEH_5,8,D_1,2023-05-16 21:01,179,60,2023-05-17 01:00,Yes,26.43,0,360,6
Null,VEH_5,9,O_276,2023-05-17 01:10,0,0,2023-05-17 01:10,Null,0.0,0,1440,-1
20230516B499302_001,VEH_5,10,D_144,2023-05-17 05:15,0,60,2023-05-17 06:15,Yes,26.1,0,360,8
Null,VEH_5,11,O_537,Null,Null,Null,Null,Null,0.0,0,1440,-1
M18410719,VEH_5,12,D_771,Null,Null,Null,Null,No,24.44,1080,120,9
Null,VEH_6,1,O_640,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
MF2305166311610,VEH_6,2,D_1765,2023-05-16 07:53,307,60,2023-05-16 14:00,Yes,11.77,780,1080,4
Null,VEH_6,3,O_394,2023-05-16 15:42,0,0,2023-05-16 15:42,Null,0.0,0,1440,-1
20230515B497030_001,VEH_6,4,D_1,2023-05-16 16:53,67,60,2023-05-16 19:00,Yes,25.49,1080,120,6
Null,VEH_6,5,O_276,2023-05-16 19:10,0,0,2023-05-16 19:10,Null,0.0,0,1440,-1
20230515B495356_001,VEH_6,6,D_45,2023-05-16 21:53,127,60,2023-05-17 01:00,Yes,23.87,0,360,5
Null,VEH_6,7,O_288,2023-05-17 06:34,0,0,2023-05-17 06:34,Null,0.0,0,1440,-1
20230517B002647_001,VEH_6,8,D_209,2023-05-17 08:54,0,60,2023-05-17 09:54,Yes,18.24,420,900,9
Null,VEH_6,9,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B499260_001,VEH_6,10,D_47,Null,Null,Null,Null,No,25.78,600,1020,10
Null,VEH_7,1,O_640,2023-05-16 18:00,0,0,2023-05-16 18:00,Null,0.0,0,1440,-1
MF2305166311602,VEH_7,2,D_1762,2023-05-16 20:25,215,60,2023-05-17 01:00,Yes,14.5,0,360,7
MF2305276372497,VEH_7,3,D_2684,2023-05-17 04:47,0,60,2023-05-17 05:47,Yes,11.12,0,360,6
Null,VEH_7,4,O_800,2023-05-17 07:02,0,0,2023-05-17 07:02,Null,0.0,0,1440,-1
20230515B497291_001,VEH_7,5,D_196,2023-05-17 07:18,162,60,2023-05-17 11:00,Yes,23.54,600,1020,7
Null,VEH_7,6,O_62,Null,Null,Null,Null,Null,0.0,0,1440,-1
M18410440,VEH_7,7,D_273,Null,Null,Null,Null,No,13.86,0,360,9
Null,VEH_7,8,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230517B002414_001,VEH_7,9,D_209,Null,Null,Null,Null,No,17.87,600,1020,10
Null,VEH_9,1,O_640,2023-05-17 00:00,0,0,2023-05-17 00:00,Null,0.0,0,1440,-1
MF2305176316646,VEH_9,2,D_1762,2023-05-17 02:25,0,60,2023-05-17 03:25,Yes,14.29,0,360,8
MF2305176316662,VEH_9,3,D_1762,2023-05-17 02:25,455,60,2023-05-17 11:00,Yes,12.36,600,1020,8
Null,VEH_9,4,O_309,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230517B002533_001,VEH_9,5,D_109,Null,Null,Null,Null,No,18.61,600,1020,10
Null,VEH_10,1,O_640,2023-05-17 06:00,0,0,2023-05-17 06:00,Null,0.0,0,1440,-1
MF2305176316704,VEH_10,2,D_1277,2023-05-17 08:33,0,60,2023-05-17 09:33,Yes,12.88,420,900,9
MF2305176316684,VEH_10,3,D_1765,Null,Null,Null,Null,No,12.43,0,360,9
Null,VEH_12,1,O_640,2023-05-17 06:00,0,0,2023-05-17 06:00,Null,0.0,0,1440,-1
MF2305176316526,VEH_12,2,D_1235,Null,Null,Null,Null,No,24.02,780,1080,9
Null,VEH_13,1,O_640,2023-05-17 06:00,0,0,2023-05-17 06:00,Null,0.0,0,1440,-1
MF2305166311622,VEH_13,2,D_1277,Null,Null,Null,Null,No,21.38,780,1080,7
Null,VEH_22,1,O_640,2023-05-17 06:00,0,0,2023-05-17 06:00,Null,0.0,0,1440,-1
MF2305166315506,VEH_22,2,D_2153,Null,Null,Null,Null,No,27.09,780,1080,5
Null,VEH_22,3,O_62,Null,Null,Null,Null,Null,0.0,0,1440,-1
M18412349,VEH_22,4,D_273,Null,Null,Null,Null,No,18.75,420,900,10
Null,VEH_22,5,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B000819_001,VEH_22,6,D_166,Null,Null,Null,Null,No,29.77,1080,120,8
Null,VEH_23,1,O_640,2023-05-17 00:00,0,0,2023-05-17 00:00,Null,0.0,0,1440,-1
MF2305166311586,VEH_23,2,D_1762,2023-05-17 02:25,275,60,2023-05-17 08:00,Yes,30.46,420,900,7
Null,VEH_23,3,O_309,Null,Null,Null,Null,Null,0.0,0,1440,-1
MF2305176317279,VEH_23,4,D_1553,Null,Null,Null,Null,No,18.62,1080,120,9
Null,VEH_24,1,O_640,2023-05-17 06:00,0,0,2023-05-17 06:00,Null,0.0,0,1440,-1
MF2305166311540,VEH_24,2,D_1764,Null,Null,Null,Null,No,31.78,780,1080,7
Null,VEH_24,3,O_819,Null,Null,Null,Null,Null,0.0,0,1440,-1
M18410764,VEH_24,4,D_337,Null,Null,Null,Null,No,30.48,780,1080,10
Null,VEH_25,1,O_640,2023-05-17 06:00,0,0,2023-05-17 06:00,Null,0.0,0,1440,-1
MF2305176323834,VEH_25,2,D_1210,Null,Null,Null,Null,No,27.84,780,1080,7
Null,VEH_102,1,O_641,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305156308974,VEH_102,2,D_1527,2023-05-15 04:45,135,60,2023-05-15 08:00,Yes,13.32,420,900,0
Null,VEH_102,3,O_495,2023-05-15 09:12,0,0,2023-05-15 09:12,Null,0.0,0,1440,-1
20230515B498477_001,VEH_102,4,D_109,2023-05-15 10:19,0,60,2023-05-15 11:19,Yes,21.06,600,1020,0
Null,VEH_102,5,O_276,2023-05-15 12:50,0,0,2023-05-15 12:50,Null,0.0,0,1440,-1
20230513B494307_001,VEH_102,6,D_120,2023-05-15 14:49,191,60,2023-05-15 19:00,Yes,14.15,1080,120,0
Null,VEH_102,7,O_26,2023-05-15 19:08,0,0,2023-05-15 19:08,Null,0.0,0,1440,-1
20230515B495612_001,VEH_102,8,D_1,2023-05-15 21:15,0,60,2023-05-15 22:15,Yes,20.76,1080,120,3
Null,VEH_102,9,O_276,2023-05-15 22:25,0,0,2023-05-15 22:25,Null,0.0,0,1440,-1
20230513B494625_001,VEH_102,10,D_81,2023-05-16 00:24,0,60,2023-05-16 01:24,Yes,19.27,0,360,1
Null,VEH_102,11,O_19,2023-05-16 01:45,0,0,2023-05-16 01:45,Null,0.0,0,1440,-1
20230516B498978_001,VEH_102,12,D_1,2023-05-16 03:33,0,60,2023-05-16 04:33,Yes,17.11,0,360,4
Null,VEH_102,13,O_276,2023-05-16 06:10,0,0,2023-05-16 06:10,Null,0.0,0,1440,-1
20230515B495564_001,VEH_102,14,D_232,2023-05-16 08:56,64,60,2023-05-16 11:00,Yes,19.33,600,1020,5
Null,VEH_102,15,O_276,2023-05-16 14:58,0,0,2023-05-16 14:58,Null,0.0,0,1440,-1
20230515B494804_001,VEH_102,16,D_74,2023-05-16 16:44,76,60,2023-05-16 19:00,Yes,23.4,1080,120,6
Null,VEH_102,17,O_26,2023-05-16 19:16,0,0,2023-05-16 19:16,Null,0.0,0,1440,-1
N_20230516944756,VEH_102,18,D_179,2023-05-16 19:49,251,60,2023-05-17 01:00,Yes,23.04,0,360,5
Null,VEH_102,19,O_800,2023-05-17 01:33,0,0,2023-05-17 01:33,Null,0.0,0,1440,-1
20230516B498917_001,VEH_102,20,D_1,2023-05-17 02:46,434,60,2023-05-17 11:00,Yes,12.67,600,1020,7
20230515B494976_001,VEH_102,21,D_1,Null,Null,Null,Null,No,11.55,780,1080,7
Null,VEH_102,22,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B494885_001,VEH_102,23,D_94,Null,Null,Null,Null,No,24.61,1080,120,7
Null,VEH_103,1,O_641,2023-05-15 18:00,0,0,2023-05-15 18:00,Null,0.0,0,1440,-1
MF2305166312393,VEH_103,2,D_1859,2023-05-15 23:51,0,60,2023-05-16 00:51,Yes,19.63,1080,120,3
Null,VEH_103,3,O_800,2023-05-16 03:16,0,0,2023-05-16 03:16,Null,0.0,0,1440,-1
20230515B495653_001,VEH_103,4,D_30,2023-05-16 03:23,0,60,2023-05-16 04:23,Yes,21.64,0,360,4
Null,VEH_103,5,O_800,2023-05-16 06:52,0,0,2023-05-16 06:52,Null,0.0,0,1440,-1
20230515B498123_001,VEH_103,6,D_125,2023-05-16 06:52,188,60,2023-05-16 11:00,Yes,24.45,600,1020,4
Null,VEH_103,7,O_279,2023-05-16 12:17,0,0,2023-05-16 12:17,Null,0.0,0,1440,-1
20230516B000053_001,VEH_103,8,D_37,2023-05-16 12:37,0,60,2023-05-16 13:37,Yes,17.77,420,900,6
M18408488,VEH_103,9,D_309,2023-05-16 16:57,843,60,2023-05-17 08:00,Yes,7.07,420,900,6
Null,VEH_104,1,O_641,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
MF2305166312363,VEH_104,2,D_1859,2023-05-16 05:51,69,60,2023-05-16 08:00,Yes,21.6,420,900,3
Null,VEH_104,3,O_800,2023-05-16 10:25,0,0,2023-05-16 10:25,Null,0.0,0,1440,-1
20230515B497518_001,VEH_104,4,D_208,2023-05-16 09:43,17,60,2023-05-16 11:00,Yes,23.85,600,1020,5
Null,VEH_104,5,O_800,2023-05-16 12:53,0,0,2023-05-16 12:53,Null,0.0,0,1440,-1
N_20230515939103,VEH_104,6,D_92,2023-05-16 13:49,0,60,2023-05-16 14:49,Yes,26.11,600,1020,6
Null,VEH_104,7,O_276,2023-05-16 18:16,0,0,2023-05-16 18:16,Null,0.0,0,1440,-1
20230515B495311_001,VEH_104,8,D_35,2023-05-16 19:57,243,60,2023-05-17 01:00,Yes,21.56,0,360,5
Null,VEH_104,9,O_68,2023-05-17 01:31,0,0,2023-05-17 01:31,Null,0.0,0,1440,-1
MF2305176321612,VEH_104,10,D_1317,2023-05-17 05:04,0,60,2023-05-17 06:04,Yes,20.44,0,360,8
Null,VEH_104,11,O_279,2023-05-17 06:22,0,0,2023-05-17 06:22,Null,0.0,0,1440,-1
M18410020,VEH_104,12,D_478,2023-05-17 08:19,0,60,2023-05-17 09:19,Yes,26.53,420,900,9
Null,VEH_106,1,O_641,2023-05-17 06:00,0,0,2023-05-17 06:00,Null,0.0,0,1440,-1
20230517B002636_001,VEH_106,2,D_208,Null,Null,Null,Null,No,22.57,780,1080,9
Null,VEH_106,3,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B499140_001,VEH_106,4,D_60,Null,Null,Null,Null,No,26.16,780,1080,10
Null,VEH_202,1,O_292,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
MF2305156310882,VEH_202,2,D_1186,2023-05-15 11:03,0,60,2023-05-15 12:03,Yes,23.8,600,1020,1
Null,VEH_202,3,O_555,2023-05-15 13:20,0,0,2023-05-15 13:20,Null,0.0,0,1440,-1
MF2305156310822,VEH_202,4,D_2100,2023-05-15 15:47,133,60,2023-05-15 19:00,Yes,22.42,1080,120,2
Null,VEH_202,5,O_368,2023-05-16 00:46,0,0,2023-05-16 00:46,Null,0.0,0,1440,-1
MF2305166315664,VEH_202,6,D_1804,2023-05-16 00:13,0,60,2023-05-16 01:13,Yes,11.3,1080,120,4
Null,VEH_202,7,O_800,2023-05-16 08:51,0,0,2023-05-16 08:51,Null,0.0,0,1440,-1
20230515B495982_001,VEH_202,8,D_208,2023-05-16 09:11,229,60,2023-05-16 14:00,Yes,23.85,780,1080,3
Null,VEH_202,9,O_800,2023-05-16 14:53,0,0,2023-05-16 14:53,Null,0.0,0,1440,-1
20230515B497434_001,VEH_202,10,D_87,2023-05-16 15:34,0,60,2023-05-16 16:34,Yes,26.55,780,1080,4
Null,VEH_202,11,O_279,2023-05-16 16:57,0,0,2023-05-16 16:57,Null,0.0,0,1440,-1
MF2305186335008,VEH_202,12,D_1327,2023-05-16 17:30,810,60,2023-05-17 08:00,Yes,24.57,420,900,5
Null,VEH_202,13,O_26,2023-05-17 08:25,0,0,2023-05-17 08:25,Null,0.0,0,1440,-1
M18410652,VEH_202,14,D_819,2023-05-17 09:41,19,60,2023-05-17 11:00,Yes,19.05,600,1020,9
Null,VEH_202,15,O_40,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B499953_001,VEH_202,16,D_233,Null,Null,Null,Null,No,13.31,600,1020,10
20230517B002670_001,VEH_202,17,D_109,Null,Null,Null,Null,No,13.47,1080,120,10
Null,VEH_203,1,O_292,2023-05-17 00:00,0,0,2023-05-17 00:00,Null,0.0,0,1440,-1
20230516B000564_001,VEH_203,2,D_109,2023-05-17 03:13,227,60,2023-05-17 08:00,Yes,19.52,420,900,7
Null,VEH_203,3,O_276,2023-05-17 08:50,0,0,2023-05-17 08:50,Null,0.0,0,1440,-1
20230516B499320_001,VEH_203,4,D_46,2023-05-17 10:23,0,60,2023-05-17 11:23,Yes,23.19,600,1020,8
Null,VEH_203,5,O_288,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230517B002648_001,VEH_203,6,D_209,Null,Null,Null,Null,No,23.73,600,1020,10
Null,VEH_204,1,O_292,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
20230515B498401_001,VEH_204,2,D_1,2023-05-16 02:59,241,60,2023-05-16 08:00,Yes,19.3,420,900,4
Null,VEH_204,3,O_276,2023-05-16 08:10,0,0,2023-05-16 08:10,Null,0.0,0,1440,-1
20230513B494606_001,VEH_204,4,D_113,2023-05-16 10:54,0,60,2023-05-16 11:54,Yes,26.02,600,1020,3
Null,VEH_204,5,O_279,2023-05-16 12:19,0,0,2023-05-16 12:19,Null,0.0,0,1440,-1
20230515B497015_001,VEH_204,6,D_233,2023-05-16 13:33,627,60,2023-05-17 01:00,Yes,18.69,0,360,6
Null,VEH_204,7,O_800,2023-05-17 01:38,0,0,2023-05-17 01:38,Null,0.0,0,1440,-1
20230516B498987_001,VEH_204,8,D_1,Null,Null,Null,Null,No,25.38,780,1080,6
Null,VEH_204,9,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B499367_001,VEH_204,10,D_162,Null,Null,Null,Null,No,24.33,1080,120,9
Null,VEH_205,1,O_292,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
MF2305156298191,VEH_205,2,D_2060,2023-05-16 05:01,299,60,2023-05-16 11:00,Yes,21.45,600,1020,2
Null,VEH_205,3,O_62,2023-05-16 12:35,0,0,2023-05-16 12:35,Null,0.0,0,1440,-1
M18410097,VEH_205,4,D_294,2023-05-16 18:20,340,60,2023-05-17 01:00,Yes,21.45,0,360,6
Null,VEH_205,5,O_276,2023-05-17 05:26,0,0,2023-05-17 05:26,Null,0.0,0,1440,-1
20230515B495497_001,VEH_205,6,D_91,Null,Null,Null,Null,No,17.33,1080,120,6
Null,VEH_207,1,O_292,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
20230516B000566_001,VEH_207,2,D_109,2023-05-16 09:13,227,60,2023-05-16 14:00,Yes,13.81,780,1080,5
Null,VEH_207,3,O_276,2023-05-16 14:50,0,0,2023-05-16 14:50,Null,0.0,0,1440,-1
20230515B494939_001,VEH_207,4,D_81,2023-05-16 16:46,74,60,2023-05-16 19:00,Yes,22.2,1080,120,5
Null,VEH_207,5,O_19,2023-05-16 19:21,0,0,2023-05-16 19:21,Null,0.0,0,1440,-1
MF2305186337128,VEH_207,6,D_2084,2023-05-16 19:58,242,60,2023-05-17 01:00,Yes,19.48,0,360,5
Null,VEH_207,7,O_279,2023-05-17 01:17,0,0,2023-05-17 01:17,Null,0.0,0,1440,-1
M18434764,VEH_207,8,D_359,2023-05-17 01:08,0,60,2023-05-17 02:08,Yes,14.15,0,360,8
Null,VEH_207,9,O_279,2023-05-17 06:18,0,0,2023-05-17 06:18,Null,0.0,0,1440,-1
M18435256,VEH_207,10,D_1178,Null,Null,Null,Null,No,17.56,780,1080,8
Null,VEH_207,11,O_26,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230517B001825_001,VEH_207,12,D_179,Null,Null,Null,Null,No,13.51,780,1080,9
Null,VEH_207,13,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B000698_001,VEH_207,14,D_113,Null,Null,Null,Null,No,23.53,600,1020,8
Null,VEH_207,15,O_279,Null,Null,Null,Null,Null,0.0,0,1440,-1
M18410611,VEH_207,16,D_994,Null,Null,Null,Null,No,26.59,780,1080,8
Null,VEH_207,17,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B000615_001,VEH_207,18,D_180,Null,Null,Null,Null,No,26.09,780,1080,9
Null,VEH_207,19,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230517B003322_001,VEH_207,20,D_152,Null,Null,Null,Null,No,15.51,1080,120,9
Null,VEH_207,21,O_279,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B000212_001,VEH_207,22,D_233,Null,Null,Null,Null,No,24.99,600,1020,7
Null,VEH_208,1,O_292,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
20230516B000561_001,VEH_208,2,D_1,2023-05-16 08:59,241,60,2023-05-16 14:00,Yes,23.32,780,1080,4
Null,VEH_208,3,O_276,2023-05-16 14:10,0,0,2023-05-16 14:10,Null,0.0,0,1440,-1
20230515B494947_001,VEH_208,4,D_199,2023-05-16 17:04,56,60,2023-05-16 19:00,Yes,26.75,1080,120,6
Null,VEH_208,5,O_279,2023-05-16 19:31,0,0,2023-05-16 19:31,Null,0.0,0,1440,-1
M18408575,VEH_208,6,D_972,2023-05-16 20:57,783,60,2023-05-17 11:00,Yes,6.05,600,1020,7
20230516B000211_001,VEH_208,7,D_208,Null,Null,Null,Null,No,20.62,0,360,6
Null,VEH_208,8,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B498268_001,VEH_208,9,D_152,Null,Null,Null,Null,No,24.73,1080,120,7
Null,VEH_302,1,O_537,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18406180,VEH_302,2,D_318,2023-05-15 06:09,51,60,2023-05-15 08:00,Yes,20.57,420,900,0
Null,VEH_302,3,O_800,2023-05-15 08:51,0,0,2023-05-15 08:51,Null,0.0,0,1440,-1
20230515B495246_001,VEH_302,4,D_84,2023-05-15 09:43,0,60,2023-05-15 10:43,Yes,18.53,420,900,1
Null,VEH_302,5,O_819,2023-05-15 13:20,0,0,2023-05-15 13:20,Null,0.0,0,1440,-1
MF2305166312778,VEH_302,6,D_1426,2023-05-15 14:15,0,60,2023-05-15 15:15,Yes,18.51,600,1020,2
Null,VEH_302,7,O_279,2023-05-16 00:44,0,0,2023-05-16 00:44,Null,0.0,0,1440,-1
M18434665,VEH_302,8,D_359,2023-05-16 00:31,0,60,2023-05-16 01:31,Yes,22.39,0,360,4
Null,VEH_302,9,O_279,2023-05-16 01:49,0,0,2023-05-16 01:49,Null,0.0,0,1440,-1
M18408614,VEH_302,10,D_848,2023-05-16 02:18,942,60,2023-05-16 19:00,Yes,11.58,1080,120,4
Null,VEH_302,11,O_40,2023-05-16 19:36,0,0,2023-05-16 19:36,Null,0.0,0,1440,-1
20230515B496563_001,VEH_302,12,D_233,2023-05-16 20:37,203,60,2023-05-17 01:00,Yes,18.26,0,360,7
Null,VEH_302,13,O_800,2023-05-17 01:38,0,0,2023-05-17 01:38,Null,0.0,0,1440,-1
20230517B003127_001,VEH_302,14,D_99,2023-05-17 01:42,0,60,2023-05-17 02:42,Yes,26.49,0,360,8
Null,VEH_302,15,O_495,2023-05-17 06:25,0,0,2023-05-17 06:25,Null,0.0,0,1440,-1
20230516B498810_001,VEH_302,16,D_151,Null,Null,Null,Null,No,22.58,600,1020,9
Null,VEH_303,1,O_537,2023-05-17 00:00,0,0,2023-05-17 00:00,Null,0.0,0,1440,-1
M18409981,VEH_303,2,D_424,2023-05-17 06:27,213,60,2023-05-17 11:00,Yes,25.61,600,1020,6
Null,VEH_303,3,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230517B001837_001,VEH_303,4,D_45,Null,Null,Null,Null,No,22.1,1080,120,8
Null,VEH_304,1,O_537,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
M18407963,VEH_304,2,D_273,2023-05-15 11:32,0,60,2023-05-15 12:32,Yes,18.61,600,1020,1
Null,VEH_304,3,O_800,2023-05-15 12:48,0,0,2023-05-15 12:48,Null,0.0,0,1440,-1
20230515B498119_001,VEH_304,4,D_21,2023-05-15 13:24,0,60,2023-05-15 14:24,Yes,15.35,780,1080,1
20230515B497517_001,VEH_304,5,D_208,2023-05-15 15:17,0,60,2023-05-15 16:17,Yes,8.8,600,1020,2
Null,VEH_304,6,O_276,2023-05-15 19:40,0,0,2023-05-15 19:40,Null,0.0,0,1440,-1
20230513B494190_001,VEH_304,7,D_65,2023-05-15 23:02,0,60,2023-05-16 00:02,Yes,19.84,1080,120,3
Null,VEH_304,8,O_42,2023-05-16 00:35,0,0,2023-05-16 00:35,Null,0.0,0,1440,-1
MF2305176321213,VEH_304,9,D_2208,2023-05-16 00:43,0,60,2023-05-16 01:43,Yes,23.35,1080,120,4
Null,VEH_305,1,O_537,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
M18406155,VEH_305,2,D_312,2023-05-15 10:52,128,60,2023-05-15 14:00,Yes,21.3,780,1080,0
Null,VEH_305,3,O_800,2023-05-15 15:10,0,0,2023-05-15 15:10,Null,0.0,0,1440,-1
20230515B497543_001,VEH_305,4,D_200,2023-05-15 15:22,158,60,2023-05-15 19:00,Yes,24.43,1080,120,1
Null,VEH_305,5,O_276,2023-05-16 02:36,0,0,2023-05-16 02:36,Null,0.0,0,1440,-1
20230513B493924_001,VEH_305,6,D_131,2023-05-16 02:15,285,60,2023-05-16 08:00,Yes,24.22,420,900,3
Null,VEH_305,7,O_800,2023-05-16 09:08,0,0,2023-05-16 09:08,Null,0.0,0,1440,-1
20230515B497292_001,VEH_305,8,D_196,2023-05-16 08:33,87,60,2023-05-16 11:00,Yes,13.81,600,1020,4
N_20230515938881,VEH_305,9,D_4,2023-05-16 11:29,751,60,2023-05-17 01:00,Yes,10.15,0,360,4
Null,VEH_305,10,O_800,2023-05-17 01:40,0,0,2023-05-17 01:40,Null,0.0,0,1440,-1
20230515B498167_001,VEH_305,11,D_132,2023-05-17 01:33,0,60,2023-05-17 02:33,Yes,16.53,0,360,4
Null,VEH_305,12,O_62,2023-05-17 06:50,0,0,2023-05-17 06:50,Null,0.0,0,1440,-1
M18412246,VEH_305,13,D_426,2023-05-17 09:32,0,60,2023-05-17 10:32,Yes,17.46,420,900,9
Null,VEH_305,14,O_819,Null,Null,Null,Null,Null,0.0,0,1440,-1
MF2305176321240,VEH_305,15,D_1359,Null,Null,Null,Null,No,21.77,420,900,10
Null,VEH_305,16,O_26,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230517B003382_001,VEH_305,17,D_1,Null,Null,Null,Null,No,19.33,780,1080,10
Null,VEH_306,1,O_537,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
M18406193,VEH_306,2,D_708,2023-05-15 09:41,199,60,2023-05-15 14:00,Yes,19.51,780,1080,0
