ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered,cbm,start,end,group
Null,VEH_1354,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494110_001,VEH_1354,2,D_116,Null,Null,Null,Null,No,27.15,0,360,0
Null,VEH_1355,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494255_001,VEH_1355,2,D_90,Null,Null,Null,Null,No,28.12,0,360,0
Null,VEH_1356,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494205_001,VEH_1356,2,D_144,Null,Null,Null,Null,No,27.87,420,900,0
Null,VEH_1752,1,O_614,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305236350943,VEH_1752,2,D_1757,Null,Null,Null,Null,No,24.53,0,360,0
Null,VEH_1753,1,O_614,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305176316922,VEH_1753,2,D_1561,Null,Null,Null,Null,No,16.73,420,900,0
Null,VEH_1754,1,O_614,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305176322262,VEH_1754,2,D_1628,Null,Null,Null,Null,No,20.74,420,900,0
Null,VEH_1755,1,O_614,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305176322272,VEH_1755,2,D_1410,Null,Null,Null,Null,No,17.68,420,900,0
Null,VEH_1756,1,O_614,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305166314295,VEH_1756,2,D_1201,Null,Null,Null,Null,No,20.18,600,1020,0
Null,VEH_1852,1,O_495,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B498481_001,VEH_1852,2,D_209,Null,Null,Null,Null,No,25.55,0,360,0
Null,VEH_1853,1,O_495,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B498464_001,VEH_1853,2,D_1,Null,Null,Null,Null,No,9.52,0,360,0
20230515B495049_001,VEH_1853,3,D_6,Null,Null,Null,Null,No,16.22,600,1020,0
Null,VEH_1854,1,O_495,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305256365178,VEH_1854,2,D_2403,Null,Null,Null,Null,No,23.25,0,360,0
Null,VEH_1855,1,O_495,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B495120_001,VEH_1855,2,D_29,Null,Null,Null,Null,No,22.21,600,1020,0
Null,VEH_2002,1,O_390,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305226348287,VEH_2002,2,D_1816,Null,Null,Null,Null,No,18.79,420,900,0
Null,VEH_2302,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497308_001,VEH_2302,2,D_53,Null,Null,Null,Null,No,21.12,0,360,0
Null,VEH_2303,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497540_001,VEH_2303,2,D_97,Null,Null,Null,Null,No,18.83,1080,120,0
Null,VEH_2304,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497157_001,VEH_2304,2,D_4,Null,Null,Null,Null,No,13.78,1080,120,0
20230515B497883_001,VEH_2304,3,D_99,Null,Null,Null,Null,No,11.39,600,1020,0
Null,VEH_2305,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497400_001,VEH_2305,2,D_114,Null,Null,Null,Null,No,18.79,1080,120,0
Null,VEH_2306,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497514_001,VEH_2306,2,D_163,Null,Null,Null,Null,No,22.57,1080,120,0
Null,VEH_2307,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497413_001,VEH_2307,2,D_41,Null,Null,Null,Null,No,20.52,0,360,0
Null,VEH_2308,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497280_001,VEH_2308,2,D_194,Null,Null,Null,Null,No,13.56,1080,120,0
Null,VEH_2309,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B498253_001,VEH_2309,2,D_84,Null,Null,Null,Null,No,17.81,0,360,0
Null,VEH_2310,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497265_001,VEH_2310,2,D_1,Null,Null,Null,Null,No,17.67,0,360,0
Null,VEH_2311,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B495245_001,VEH_2311,2,D_193,Null,Null,Null,Null,No,20.8,420,900,0
Null,VEH_2312,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497229_001,VEH_2312,2,D_112,Null,Null,Null,Null,No,23.16,420,900,0
Null,VEH_2313,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497474_001,VEH_2313,2,D_109,Null,Null,Null,Null,No,18.42,420,900,0
Null,VEH_2314,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497551_001,VEH_2314,2,D_49,Null,Null,Null,Null,No,16.18,420,900,0
Null,VEH_2315,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497573_001,VEH_2315,2,D_166,Null,Null,Null,Null,No,15.66,420,900,0
Null,VEH_2316,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497602_001,VEH_2316,2,D_186,Null,Null,Null,Null,No,20.8,420,900,0
Null,VEH_2317,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497723_001,VEH_2317,2,D_84,Null,Null,Null,Null,No,14.83,420,900,0
Null,VEH_2318,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B498163_001,VEH_2318,2,D_206,Null,Null,Null,Null,No,18.63,420,900,0
Null,VEH_2319,1,O_800,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305156310880,VEH_2319,2,D_1278,Null,Null,Null,Null,No,25.89,600,1020,0
Null,VEH_2552,1,O_26,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B498426_001,VEH_2552,2,D_1,Null,Null,Null,Null,No,20.08,0,360,0
Null,VEH_2553,1,O_26,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B495827_001,VEH_2553,2,D_208,Null,Null,Null,Null,No,18.97,420,900,0
Null,VEH_2554,1,O_26,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B497085_001,VEH_2554,2,D_209,Null,Null,Null,Null,No,19.76,420,900,0
Null,VEH_2752,1,O_279,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18406028,VEH_2752,2,D_584,Null,Null,Null,Null,No,15.68,0,360,0
Null,VEH_2753,1,O_279,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18408025,VEH_2753,2,D_293,Null,Null,Null,Null,No,22.84,0,360,0
Null,VEH_2754,1,O_279,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18405964,VEH_2754,2,D_924,Null,Null,Null,Null,No,22.41,0,360,0
Null,VEH_2755,1,O_279,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18407962,VEH_2755,2,D_390,Null,Null,Null,Null,No,24.51,0,360,0
Null,VEH_2756,1,O_279,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18405861,VEH_2756,2,D_262,Null,Null,Null,Null,No,16.58,420,900,0
Null,VEH_2757,1,O_279,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18406375,VEH_2757,2,D_276,Null,Null,Null,Null,No,16.39,420,900,0
Null,VEH_2758,1,O_279,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18406381,VEH_2758,2,D_397,Null,Null,Null,Null,No,20.84,420,900,0
Null,VEH_2902,1,O_62,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B498008_001,VEH_2902,2,D_208,Null,Null,Null,Null,No,23.16,0,360,0
Null,VEH_2903,1,O_62,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305166311756,VEH_2903,2,D_1385,Null,Null,Null,Null,No,20.23,0,360,0
Null,VEH_2904,1,O_62,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18406441,VEH_2904,2,D_351,Null,Null,Null,Null,No,21.38,420,900,0
Null,VEH_2905,1,O_62,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18406455,VEH_2905,2,D_672,Null,Null,Null,Null,No,14.87,600,1020,0
20230515B497990_001,VEH_2905,3,D_108,Null,Null,Null,Null,No,11.27,780,1080,0
Null,VEH_3102,1,O_93,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305156308631,VEH_3102,2,D_2074,Null,Null,Null,Null,No,26.29,0,360,0
20230513B493841_001,Null,Null,Null,Null,Null,Null,Null,Null,12.35,780,1080,0
20230513B493901_001,Null,Null,Null,Null,Null,Null,Null,Null,26.76,600,1020,0
20230513B493925_001,Null,Null,Null,Null,Null,Null,Null,Null,13.65,1080,120,0
20230513B493966_001,Null,Null,Null,Null,Null,Null,Null,Null,20.83,780,1080,0
20230513B494003_001,Null,Null,Null,Null,Null,Null,Null,Null,30.79,780,1080,0
20230513B494012_001,Null,Null,Null,Null,Null,Null,Null,Null,20.81,780,1080,0
20230513B494039_001,Null,Null,Null,Null,Null,Null,Null,Null,28.77,600,1020,0
20230513B494048_001,Null,Null,Null,Null,Null,Null,Null,Null,18.23,780,1080,0
20230513B494124_001,Null,Null,Null,Null,Null,Null,Null,Null,17.41,600,1020,0
20230513B494131_001,Null,Null,Null,Null,Null,Null,Null,Null,25.28,600,1020,0
20230513B494145_001,Null,Null,Null,Null,Null,Null,Null,Null,32.02,780,1080,0
20230513B494152_001,Null,Null,Null,Null,Null,Null,Null,Null,18.22,600,1020,0
20230513B494158_001,Null,Null,Null,Null,Null,Null,Null,Null,20.03,780,1080,0
20230513B494169_001,Null,Null,Null,Null,Null,Null,Null,Null,27.36,600,1020,0
20230513B494175_001,Null,Null,Null,Null,Null,Null,Null,Null,28.88,780,1080,0
20230513B494183_001,Null,Null,Null,Null,Null,Null,Null,Null,22.54,600,1020,0
20230513B494187_001,Null,Null,Null,Null,Null,Null,Null,Null,27.46,780,1080,0
20230513B494201_001,Null,Null,Null,Null,Null,Null,Null,Null,29.75,780,1080,0
20230513B494217_001,Null,Null,Null,Null,Null,Null,Null,Null,22.39,780,1080,0
20230513B494229_001,Null,Null,Null,Null,Null,Null,Null,Null,25.75,780,1080,0
20230513B494241_001,Null,Null,Null,Null,Null,Null,Null,Null,15.17,600,1020,0
20230513B494248_001,Null,Null,Null,Null,Null,Null,Null,Null,20.43,780,1080,0
20230513B494274_001,Null,Null,Null,Null,Null,Null,Null,Null,31.94,1080,120,0
20230513B494289_001,Null,Null,Null,Null,Null,Null,Null,Null,23.68,600,1020,0
20230513B494295_001,Null,Null,Null,Null,Null,Null,Null,Null,16.6,780,1080,0
20230513B494299_001,Null,Null,Null,Null,Null,Null,Null,Null,19.48,1080,120,0
20230513B494307_001,Null,Null,Null,Null,Null,Null,Null,Null,14.15,1080,120,0
20230513B494314_001,Null,Null,Null,Null,Null,Null,Null,Null,15.6,1080,120,0
20230513B494328_001,Null,Null,Null,Null,Null,Null,Null,Null,13.27,780,1080,0
20230515B494724_001,Null,Null,Null,Null,Null,Null,Null,Null,20.15,600,1020,0
20230515B494730_001,Null,Null,Null,Null,Null,Null,Null,Null,20.76,600,1020,0
20230515B494925_001,Null,Null,Null,Null,Null,Null,Null,Null,16.82,780,1080,0
20230515B495073_001,Null,Null,Null,Null,Null,Null,Null,Null,14.77,780,1080,0
20230515B495172_001,Null,Null,Null,Null,Null,Null,Null,Null,29.61,420,900,0
20230515B495615_001,Null,Null,Null,Null,Null,Null,Null,Null,17.95,600,1020,0
20230515B495621_001,Null,Null,Null,Null,Null,Null,Null,Null,20.22,420,900,0
20230515B495759_001,Null,Null,Null,Null,Null,Null,Null,Null,27.13,420,900,0
20230515B495817_001,Null,Null,Null,Null,Null,Null,Null,Null,29.76,780,1080,0
20230515B495844_001,Null,Null,Null,Null,Null,Null,Null,Null,16.84,420,900,0
20230515B495851_001,Null,Null,Null,Null,Null,Null,Null,Null,29.69,780,1080,0
20230515B495976_001,Null,Null,Null,Null,Null,Null,Null,Null,25.61,780,1080,0
20230515B497170_001,Null,Null,Null,Null,Null,Null,Null,Null,21.41,600,1020,0
20230515B497198_001,Null,Null,Null,Null,Null,Null,Null,Null,21.8,420,900,0
20230515B497257_001,Null,Null,Null,Null,Null,Null,Null,Null,32.52,1080,120,0
20230515B497349_001,Null,Null,Null,Null,Null,Null,Null,Null,25.05,780,1080,0
20230515B497369_001,Null,Null,Null,Null,Null,Null,Null,Null,29.34,780,1080,0
20230515B497450_001,Null,Null,Null,Null,Null,Null,Null,Null,14.34,780,1080,0
20230515B497468_001,Null,Null,Null,Null,Null,Null,Null,Null,32.23,420,900,0
20230515B497492_001,Null,Null,Null,Null,Null,Null,Null,Null,22.23,780,1080,0
20230515B497586_001,Null,Null,Null,Null,Null,Null,Null,Null,20.94,600,1020,0
20230515B497995_001,Null,Null,Null,Null,Null,Null,Null,Null,31.46,780,1080,0
20230515B498056_001,Null,Null,Null,Null,Null,Null,Null,Null,27.2,600,1020,0
20230515B498098_001,Null,Null,Null,Null,Null,Null,Null,Null,13.74,600,1020,0
20230515B498102_001,Null,Null,Null,Null,Null,Null,Null,Null,27.43,1080,120,0
20230515B498116_001,Null,Null,Null,Null,Null,Null,Null,Null,31.19,600,1020,0
20230515B498147_001,Null,Null,Null,Null,Null,Null,Null,Null,17.82,780,1080,0
20230515B498206_001,Null,Null,Null,Null,Null,Null,Null,Null,27.2,780,1080,0
20230515B498225_001,Null,Null,Null,Null,Null,Null,Null,Null,27.74,600,1020,0
20230515B498286_001,Null,Null,Null,Null,Null,Null,Null,Null,19.55,600,1020,0
20230515B498311_001,Null,Null,Null,Null,Null,Null,Null,Null,31.12,1080,120,0
20230515B498344_001,Null,Null,Null,Null,Null,Null,Null,Null,29.24,0,360,0
20230515B498360_001,Null,Null,Null,Null,Null,Null,Null,Null,25.54,780,1080,0
20230515B498422_001,Null,Null,Null,Null,Null,Null,Null,Null,21.13,780,1080,0
20230515B498430_001,Null,Null,Null,Null,Null,Null,Null,Null,27.32,780,1080,0
20230515B498435_001,Null,Null,Null,Null,Null,Null,Null,Null,20.62,780,1080,0
20230515B498440_001,Null,Null,Null,Null,Null,Null,Null,Null,17.08,600,1020,0
20230515B498444_001,Null,Null,Null,Null,Null,Null,Null,Null,28.09,1080,120,0
20230515B498448_001,Null,Null,Null,Null,Null,Null,Null,Null,35.32,1080,120,0
20230515B498454_001,Null,Null,Null,Null,Null,Null,Null,Null,19.79,780,1080,0
20230515B498468_001,Null,Null,Null,Null,Null,Null,Null,Null,14.18,780,1080,0
20230515B498473_001,Null,Null,Null,Null,Null,Null,Null,Null,23.51,780,1080,0
20230515B498477_001,Null,Null,Null,Null,Null,Null,Null,Null,21.06,600,1020,0
20230515B498485_001,Null,Null,Null,Null,Null,Null,Null,Null,18.59,600,1020,0
20230515B498506_001,Null,Null,Null,Null,Null,Null,Null,Null,28.64,780,1080,0
20230515B498512_001,Null,Null,Null,Null,Null,Null,Null,Null,23.51,1080,120,0
20230515B498530_001,Null,Null,Null,Null,Null,Null,Null,Null,27.31,600,1020,0
20230515B498534_001,Null,Null,Null,Null,Null,Null,Null,Null,25.6,780,1080,0
N_20230513922577,Null,Null,Null,Null,Null,Null,Null,Null,15.28,600,1020,0
M18405440,Null,Null,Null,Null,Null,Null,Null,Null,30.99,780,1080,0
M18405594,Null,Null,Null,Null,Null,Null,Null,Null,29.83,600,1020,0
M18405904,Null,Null,Null,Null,Null,Null,Null,Null,29.27,780,1080,0
M18406009,Null,Null,Null,Null,Null,Null,Null,Null,30.11,600,1020,0
M18406105,Null,Null,Null,Null,Null,Null,Null,Null,22.48,1080,120,0
M18406151,Null,Null,Null,Null,Null,Null,Null,Null,15.97,1080,120,0
M18406155,Null,Null,Null,Null,Null,Null,Null,Null,21.3,780,1080,0
M18406193,Null,Null,Null,Null,Null,Null,Null,Null,19.51,780,1080,0
M18406232,Null,Null,Null,Null,Null,Null,Null,Null,18.97,780,1080,0
M18406251,Null,Null,Null,Null,Null,Null,Null,Null,28.29,0,360,0
M18406317,Null,Null,Null,Null,Null,Null,Null,Null,13.38,780,1080,0
M18406321,Null,Null,Null,Null,Null,Null,Null,Null,29.2,600,1020,0
M18406366,Null,Null,Null,Null,Null,Null,Null,Null,21.05,780,1080,0
M18406371,Null,Null,Null,Null,Null,Null,Null,Null,27.15,1080,120,0
M18407480,Null,Null,Null,Null,Null,Null,Null,Null,28.33,600,1020,0
M18407526,Null,Null,Null,Null,Null,Null,Null,Null,28.0,420,900,0
M18407869,Null,Null,Null,Null,Null,Null,Null,Null,12.26,0,360,0
M18407987,Null,Null,Null,Null,Null,Null,Null,Null,25.48,780,1080,0
M18408018,Null,Null,Null,Null,Null,Null,Null,Null,19.39,1080,120,0
M18408066,Null,Null,Null,Null,Null,Null,Null,Null,19.06,1080,120,0
M18408074,Null,Null,Null,Null,Null,Null,Null,Null,30.56,780,1080,0
MF2305126295512,Null,Null,Null,Null,Null,Null,Null,Null,32.24,420,900,0
MF2305156297584,Null,Null,Null,Null,Null,Null,Null,Null,27.02,0,360,0
MF2305156298395,Null,Null,Null,Null,Null,Null,Null,Null,28.74,0,360,0
MF2305156298556,Null,Null,Null,Null,Null,Null,Null,Null,21.65,780,1080,0
MF2305156309503,Null,Null,Null,Null,Null,Null,Null,Null,25.66,1080,120,0
MF2305156309746,Null,Null,Null,Null,Null,Null,Null,Null,24.54,780,1080,0
MF2305156309754,Null,Null,Null,Null,Null,Null,Null,Null,21.09,1080,120,0
MF2305156309846,Null,Null,Null,Null,Null,Null,Null,Null,31.69,600,1020,0
MF2305156309854,Null,Null,Null,Null,Null,Null,Null,Null,27.37,0,360,0
MF2305156310900,Null,Null,Null,Null,Null,Null,Null,Null,13.62,780,1080,0
MF2305156311408,Null,Null,Null,Null,Null,Null,Null,Null,24.17,1080,120,0
MF2305166311981,Null,Null,Null,Null,Null,Null,Null,Null,30.1,780,1080,0
MF2305166312126,Null,Null,Null,Null,Null,Null,Null,Null,22.04,1080,120,0
MF2305166312379,Null,Null,Null,Null,Null,Null,Null,Null,22.69,780,1080,0
MF2305166312387,Null,Null,Null,Null,Null,Null,Null,Null,25.59,780,1080,0
