ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered,cbm,start,end,group
Null,VEH_102,1,O_641,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305156308974,VEH_102,2,D_1527,2023-05-15 04:45,135,60,2023-05-15 08:00,Yes,13.32,420,900,0
Null,VEH_102,3,O_495,2023-05-15 09:12,0,0,2023-05-15 09:12,Null,0.0,0,1440,-1
20230515B498477_001,VEH_102,4,D_109,2023-05-15 10:19,0,60,2023-05-15 11:19,Yes,21.06,600,1020,0
Null,VEH_102,5,O_276,2023-05-15 12:50,0,0,2023-05-15 12:50,Null,0.0,0,1440,-1
20230513B494307_001,VEH_102,6,D_120,2023-05-15 14:49,191,60,2023-05-15 19:00,Yes,14.15,1080,120,0
Null,VEH_102,7,O_26,2023-05-15 19:08,0,0,2023-05-15 19:08,Null,0.0,0,1440,-1
20230515B495612_001,VEH_102,8,D_1,2023-05-15 21:15,0,60,2023-05-15 22:15,Yes,20.76,1080,120,3
Null,VEH_102,9,O_276,2023-05-15 22:25,0,0,2023-05-15 22:25,Null,0.0,0,1440,-1
20230513B494625_001,VEH_102,10,D_81,2023-05-16 00:24,0,60,2023-05-16 01:24,Yes,19.27,0,360,1
Null,VEH_102,11,O_19,2023-05-16 01:45,0,0,2023-05-16 01:45,Null,0.0,0,1440,-1
20230516B498978_001,VEH_102,12,D_1,2023-05-16 03:33,0,60,2023-05-16 04:33,Yes,17.11,0,360,4
Null,VEH_102,13,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B495564_001,VEH_102,14,D_232,Null,Null,Null,Null,No,19.33,600,1020,5
Null,VEH_103,1,O_641,2023-05-15 18:00,0,0,2023-05-15 18:00,Null,0.0,0,1440,-1
MF2305166312393,VEH_103,2,D_1859,2023-05-15 23:51,0,60,2023-05-16 00:51,Yes,19.63,1080,120,3
Null,VEH_103,3,O_800,2023-05-16 03:16,0,0,2023-05-16 03:16,Null,0.0,0,1440,-1
20230515B495653_001,VEH_103,4,D_30,2023-05-16 03:23,0,60,2023-05-16 04:23,Yes,21.64,0,360,4
Null,VEH_103,5,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B498123_001,VEH_103,6,D_125,Null,Null,Null,Null,No,24.45,600,1020,4
Null,VEH_104,1,O_641,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
MF2305166312363,VEH_104,2,D_1859,Null,Null,Null,Null,No,21.6,420,900,3
Null,VEH_104,3,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B497518_001,VEH_104,4,D_208,Null,Null,Null,Null,No,23.85,600,1020,5
Null,VEH_202,1,O_292,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
MF2305156310882,VEH_202,2,D_1186,2023-05-15 11:03,0,60,2023-05-15 12:03,Yes,23.8,600,1020,1
Null,VEH_202,3,O_555,2023-05-15 13:20,0,0,2023-05-15 13:20,Null,0.0,0,1440,-1
MF2305156310822,VEH_202,4,D_2100,2023-05-15 15:47,133,60,2023-05-15 19:00,Yes,22.42,1080,120,2
Null,VEH_202,5,O_368,2023-05-16 00:46,0,0,2023-05-16 00:46,Null,0.0,0,1440,-1
MF2305166315664,VEH_202,6,D_1804,2023-05-16 00:13,0,60,2023-05-16 01:13,Yes,11.3,1080,120,4
Null,VEH_202,7,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B495982_001,VEH_202,8,D_208,Null,Null,Null,Null,No,23.85,780,1080,3
Null,VEH_202,9,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B497434_001,VEH_202,10,D_87,Null,Null,Null,Null,No,26.55,780,1080,4
Null,VEH_202,11,O_279,Null,Null,Null,Null,Null,0.0,0,1440,-1
MF2305186335008,VEH_202,12,D_1327,Null,Null,Null,Null,No,24.57,420,900,5
Null,VEH_204,1,O_292,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
20230515B498401_001,VEH_204,2,D_1,Null,Null,Null,Null,No,19.3,420,900,4
Null,VEH_204,3,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230513B494606_001,VEH_204,4,D_113,Null,Null,Null,Null,No,26.02,600,1020,3
Null,VEH_205,1,O_292,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
MF2305156298191,VEH_205,2,D_2060,Null,Null,Null,Null,No,21.45,600,1020,2
Null,VEH_207,1,O_292,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
20230516B000566_001,VEH_207,2,D_109,Null,Null,Null,Null,No,13.81,780,1080,5
Null,VEH_208,1,O_292,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
20230516B000561_001,VEH_208,2,D_1,Null,Null,Null,Null,No,23.32,780,1080,4
Null,VEH_302,1,O_537,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18406180,VEH_302,2,D_318,2023-05-15 06:09,51,60,2023-05-15 08:00,Yes,20.57,420,900,0
Null,VEH_302,3,O_800,2023-05-15 08:51,0,0,2023-05-15 08:51,Null,0.0,0,1440,-1
20230515B495246_001,VEH_302,4,D_84,2023-05-15 09:43,0,60,2023-05-15 10:43,Yes,18.53,420,900,1
Null,VEH_302,5,O_819,2023-05-15 13:20,0,0,2023-05-15 13:20,Null,0.0,0,1440,-1
MF2305166312778,VEH_302,6,D_1426,2023-05-15 14:15,0,60,2023-05-15 15:15,Yes,18.51,600,1020,2
Null,VEH_302,7,O_279,2023-05-16 00:44,0,0,2023-05-16 00:44,Null,0.0,0,1440,-1
M18434665,VEH_302,8,D_359,2023-05-16 00:31,0,60,2023-05-16 01:31,Yes,22.39,0,360,4
Null,VEH_302,9,O_279,2023-05-16 01:49,0,0,2023-05-16 01:49,Null,0.0,0,1440,-1
M18408614,VEH_302,10,D_848,Null,Null,Null,Null,No,11.58,1080,120,4
Null,VEH_304,1,O_537,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
M18407963,VEH_304,2,D_273,2023-05-15 11:32,0,60,2023-05-15 12:32,Yes,18.61,600,1020,1
Null,VEH_304,3,O_800,2023-05-15 12:48,0,0,2023-05-15 12:48,Null,0.0,0,1440,-1
20230515B498119_001,VEH_304,4,D_21,2023-05-15 13:24,0,60,2023-05-15 14:24,Yes,15.35,780,1080,1
20230515B497517_001,VEH_304,5,D_208,2023-05-15 15:17,0,60,2023-05-15 16:17,Yes,8.8,600,1020,2
Null,VEH_304,6,O_276,2023-05-15 19:40,0,0,2023-05-15 19:40,Null,0.0,0,1440,-1
20230513B494190_001,VEH_304,7,D_65,2023-05-15 23:02,0,60,2023-05-16 00:02,Yes,19.84,1080,120,3
Null,VEH_304,8,O_42,2023-05-16 00:35,0,0,2023-05-16 00:35,Null,0.0,0,1440,-1
MF2305176321213,VEH_304,9,D_2208,2023-05-16 00:43,0,60,2023-05-16 01:43,Yes,23.35,1080,120,4
Null,VEH_305,1,O_537,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
M18406155,VEH_305,2,D_312,2023-05-15 10:52,128,60,2023-05-15 14:00,Yes,21.3,780,1080,0
Null,VEH_305,3,O_800,2023-05-15 15:10,0,0,2023-05-15 15:10,Null,0.0,0,1440,-1
20230515B497543_001,VEH_305,4,D_200,2023-05-15 15:22,158,60,2023-05-15 19:00,Yes,24.43,1080,120,1
Null,VEH_305,5,O_276,2023-05-16 02:36,0,0,2023-05-16 02:36,Null,0.0,0,1440,-1
20230513B493924_001,VEH_305,6,D_131,Null,Null,Null,Null,No,24.22,420,900,3
Null,VEH_305,7,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B497292_001,VEH_305,8,D_196,Null,Null,Null,Null,No,13.81,600,1020,4
N_20230515938881,VEH_305,9,D_4,Null,Null,Null,Null,No,10.15,0,360,4
Null,VEH_305,10,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B498167_001,VEH_305,11,D_132,Null,Null,Null,Null,No,16.53,0,360,4
Null,VEH_306,1,O_537,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
M18406193,VEH_306,2,D_708,2023-05-15 09:41,199,60,2023-05-15 14:00,Yes,19.51,780,1080,0
Null,VEH_306,3,O_800,2023-05-15 17:14,0,0,2023-05-15 17:14,Null,0.0,0,1440,-1
20230515B497603_001,VEH_306,4,D_104,2023-05-15 17:04,56,60,2023-05-15 19:00,Yes,22.5,1080,120,1
Null,VEH_306,5,O_129,2023-05-15 19:07,0,0,2023-05-15 19:07,Null,0.0,0,1440,-1
20230515B495853_001,VEH_306,6,D_208,2023-05-15 20:04,236,60,2023-05-16 01:00,Yes,23.65,0,360,2
Null,VEH_306,7,O_800,2023-05-16 01:53,0,0,2023-05-16 01:53,Null,0.0,0,1440,-1
20230515B497240_001,VEH_306,8,D_26,2023-05-16 02:09,0,60,2023-05-16 03:09,Yes,25.82,0,360,4
Null,VEH_306,9,O_40,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B495900_001,VEH_306,10,D_233,Null,Null,Null,Null,No,15.47,600,1020,4
Null,VEH_307,1,O_537,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
M18406232,VEH_307,2,D_273,2023-05-15 11:32,88,60,2023-05-15 14:00,Yes,18.97,780,1080,0
Null,VEH_307,3,O_800,2023-05-15 14:16,0,0,2023-05-15 14:16,Null,0.0,0,1440,-1
20230515B497501_001,VEH_307,4,D_160,2023-05-15 15:16,164,60,2023-05-15 19:00,Yes,24.59,1080,120,2
Null,VEH_307,5,O_276,2023-05-15 20:15,0,0,2023-05-15 20:15,Null,0.0,0,1440,-1
20230513B494174_001,VEH_307,6,D_195,2023-05-15 20:47,193,60,2023-05-16 01:00,Yes,18.64,0,360,3
Null,VEH_307,7,O_62,2023-05-16 01:49,0,0,2023-05-16 01:49,Null,0.0,0,1440,-1
20230516B499673_001,VEH_307,8,D_108,Null,Null,Null,Null,No,9.61,420,900,4
Null,VEH_307,9,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B497619_001,VEH_307,10,D_81,Null,Null,Null,Null,No,19.37,0,360,4
Null,VEH_308,1,O_537,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
M18407870,VEH_308,2,D_424,2023-05-15 12:27,333,60,2023-05-15 19:00,Yes,22.11,1080,120,1
Null,VEH_308,3,O_800,2023-05-16 01:31,0,0,2023-05-16 01:31,Null,0.0,0,1440,-1
20230515B497220_001,VEH_308,4,D_82,2023-05-16 01:37,0,60,2023-05-16 02:37,Yes,24.27,1080,120,4
Null,VEH_308,5,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B499985_001,VEH_308,6,D_208,Null,Null,Null,Null,No,19.78,600,1020,4
Null,VEH_309,1,O_537,2023-05-15 12:00,0,0,2023-05-15 12:00,Null,0.0,0,1440,-1
MF2305166311760,VEH_309,2,D_1380,2023-05-15 17:58,0,60,2023-05-15 18:58,Yes,22.41,780,1080,2
Null,VEH_309,3,O_800,2023-05-15 19:41,0,0,2023-05-15 19:41,Null,0.0,0,1440,-1
20230515B497195_001,VEH_309,4,D_30,2023-05-15 19:13,0,60,2023-05-15 20:13,Yes,25.2,1080,120,3
Null,VEH_309,5,O_800,2023-05-16 00:52,0,0,2023-05-16 00:52,Null,0.0,0,1440,-1
20230515B497208_001,VEH_309,6,D_32,2023-05-16 00:45,0,60,2023-05-16 01:45,Yes,22.98,1080,120,4
Null,VEH_309,7,O_279,Null,Null,Null,Null,Null,0.0,0,1440,-1
M18408476,VEH_309,8,D_832,Null,Null,Null,Null,No,20.99,600,1020,4
Null,VEH_311,1,O_537,2023-05-15 18:00,0,0,2023-05-15 18:00,Null,0.0,0,1440,-1
M18406010,VEH_311,2,D_456,2023-05-15 23:39,21,60,2023-05-16 01:00,Yes,21.45,0,360,1
Null,VEH_311,3,O_800,2023-05-16 01:32,0,0,2023-05-16 01:32,Null,0.0,0,1440,-1
N_20230515938789,VEH_311,4,D_1,2023-05-16 03:14,0,60,2023-05-16 04:14,Yes,22.24,0,360,4
Null,VEH_311,5,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B494669_001,VEH_311,6,D_15,Null,Null,Null,Null,No,17.42,600,1020,5
Null,VEH_312,1,O_537,2023-05-15 18:00,0,0,2023-05-15 18:00,Null,0.0,0,1440,-1
M18406244,VEH_312,2,D_273,2023-05-15 23:32,28,60,2023-05-16 01:00,Yes,18.04,0,360,1
Null,VEH_312,3,O_800,2023-05-16 01:16,0,0,2023-05-16 01:16,Null,0.0,0,1440,-1
20230515B495022_001,VEH_312,4,D_108,2023-05-16 01:53,0,60,2023-05-16 02:53,Yes,19.36,1080,120,4
Null,VEH_312,5,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B498120_001,VEH_312,6,D_125,Null,Null,Null,Null,No,15.94,600,1020,5
Null,VEH_313,1,O_537,2023-05-15 12:00,0,0,2023-05-15 12:00,Null,0.0,0,1440,-1
M18407869,VEH_313,2,D_424,2023-05-15 18:27,333,60,2023-05-16 01:00,Yes,12.26,0,360,0
MF2305156298397,VEH_313,3,D_1246,2023-05-16 03:11,0,60,2023-05-16 04:11,Yes,13.06,0,360,1
Null,VEH_313,4,O_19,2023-05-16 04:57,0,0,2023-05-16 04:57,Null,0.0,0,1440,-1
20230515B496696_001,VEH_313,5,D_233,2023-05-16 04:32,0,60,2023-05-16 05:32,Yes,18.33,0,360,4
Null,VEH_313,6,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B497275_001,VEH_313,7,D_48,Null,Null,Null,Null,No,22.04,600,1020,5
Null,VEH_315,1,O_537,2023-05-15 18:00,0,0,2023-05-15 18:00,Null,0.0,0,1440,-1
M18406250,VEH_315,2,D_362,2023-05-16 00:18,0,60,2023-05-16 01:18,Yes,24.08,0,360,3
Null,VEH_315,3,O_26,2023-05-16 02:04,0,0,2023-05-16 02:04,Null,0.0,0,1440,-1
20230516B499474_001,VEH_315,4,D_1,2023-05-16 04:01,0,60,2023-05-16 05:01,Yes,24.32,0,360,4
Null,VEH_315,5,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
M18406138,VEH_315,6,D_338,Null,Null,Null,Null,No,24.08,600,1020,3
Null,VEH_318,1,O_537,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
M18434268,VEH_318,2,D_301,Null,Null,Null,Null,No,17.21,600,1020,5
M18408198,VEH_318,3,D_312,Null,Null,Null,Null,No,9.7,420,900,5
Null,VEH_319,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
20230516B499575_001,VEH_319,2,D_109,Null,Null,Null,Null,No,23.46,420,900,4
Null,VEH_319,3,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B495956_001,VEH_319,4,D_135,Null,Null,Null,Null,No,22.77,600,1020,5
Null,VEH_320,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
20230516B499762_001,VEH_320,2,D_109,Null,Null,Null,Null,No,22.16,420,900,4
Null,VEH_320,3,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B495352_001,VEH_320,4,D_135,Null,Null,Null,Null,No,25.52,420,900,5
Null,VEH_321,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
20230516B499883_001,VEH_321,2,D_109,Null,Null,Null,Null,No,23.27,420,900,4
Null,VEH_321,3,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B001032_001,VEH_321,4,D_233,Null,Null,Null,Null,No,24.23,600,1020,4
Null,VEH_322,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18407296,VEH_322,2,D_264,Null,Null,Null,Null,No,20.06,420,900,4
Null,VEH_322,3,O_288,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B000245_001,VEH_322,4,D_209,Null,Null,Null,Null,No,32.26,420,900,5
Null,VEH_323,1,O_537,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
M18405662,VEH_323,2,D_403,2023-05-15 10:31,149,60,2023-05-15 14:00,Yes,27.7,780,1080,1
Null,VEH_323,3,O_495,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B001111_001,VEH_323,4,D_209,Null,Null,Null,Null,No,30.56,600,1020,4
Null,VEH_324,1,O_537,2023-05-15 12:00,0,0,2023-05-15 12:00,Null,0.0,0,1440,-1
M18406185,VEH_324,2,D_273,2023-05-15 17:32,0,60,2023-05-15 18:32,Yes,29.32,780,1080,1
Null,VEH_324,3,O_800,2023-05-15 18:48,0,0,2023-05-15 18:48,Null,0.0,0,1440,-1
20230515B497565_001,VEH_324,4,D_203,2023-05-15 19:35,0,60,2023-05-15 20:35,Yes,30.7,1080,120,3
Null,VEH_324,5,O_276,2023-05-16 01:08,0,0,2023-05-16 01:08,Null,0.0,0,1440,-1
20230515B495347_001,VEH_324,6,D_42,2023-05-16 03:15,0,60,2023-05-16 04:15,Yes,28.02,0,360,4
Null,VEH_324,7,O_68,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B498530_001,VEH_324,8,D_29,Null,Null,Null,Null,No,27.31,600,1020,0
Null,VEH_325,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18408228,VEH_325,2,D_273,Null,Null,Null,Null,No,24.35,420,900,4
Null,VEH_325,3,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B000461_001,VEH_325,4,D_233,Null,Null,Null,Null,No,30.07,420,900,4
Null,VEH_326,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18408286,VEH_326,2,D_534,Null,Null,Null,Null,No,19.45,420,900,4
Null,VEH_327,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18408295,VEH_327,2,D_273,Null,Null,Null,Null,No,30.52,420,900,4
Null,VEH_327,3,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B497359_001,VEH_327,4,D_74,Null,Null,Null,Null,No,16.34,600,1020,5
Null,VEH_328,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18410109,VEH_328,2,D_362,Null,Null,Null,Null,No,16.35,420,900,4
20230516B499579_001,VEH_328,3,D_233,Null,Null,Null,Null,No,15.53,600,1020,4
Null,VEH_328,4,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B498345_001,VEH_328,5,D_38,Null,Null,Null,Null,No,26.4,600,1020,4
Null,VEH_329,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18410121,VEH_329,2,D_293,Null,Null,Null,Null,No,27.2,420,900,4
Null,VEH_329,3,O_68,Null,Null,Null,Null,Null,0.0,0,1440,-1
MF2305166315582,VEH_329,4,D_1316,Null,Null,Null,Null,No,29.06,420,900,5
Null,VEH_330,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
MF2305166312313,VEH_330,2,D_1244,Null,Null,Null,Null,No,25.15,420,900,4
Null,VEH_330,3,O_495,Null,Null,Null,Null,Null,0.0,0,1440,-1
MF2305166311811,VEH_330,4,D_2108,Null,Null,Null,Null,No,28.96,780,1080,4
Null,VEH_330,5,O_40,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B000166_001,VEH_330,6,D_108,Null,Null,Null,Null,No,32.14,600,1020,4
Null,VEH_331,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18406006,VEH_331,2,D_288,Null,Null,Null,Null,No,20.9,420,900,3
Null,VEH_331,3,O_292,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B000041_001,VEH_331,4,D_109,Null,Null,Null,Null,No,23.75,420,900,5
Null,VEH_332,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18406012,VEH_332,2,D_548,Null,Null,Null,Null,No,21.42,420,900,3
Null,VEH_332,3,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B000017_001,VEH_332,4,D_209,Null,Null,Null,Null,No,29.37,600,1020,4
Null,VEH_333,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18406005,VEH_333,2,D_370,Null,Null,Null,Null,No,26.07,420,900,2
Null,VEH_333,3,O_390,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B001020_001,VEH_333,4,D_1,Null,Null,Null,Null,No,32.48,600,1020,5
Null,VEH_334,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18406011,VEH_334,2,D_926,Null,Null,Null,Null,No,20.18,420,900,2
Null,VEH_334,3,O_26,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230516B499720_001,VEH_334,4,D_108,Null,Null,Null,Null,No,27.25,600,1020,4
Null,VEH_335,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18407931,VEH_335,2,D_273,Null,Null,Null,Null,No,29.86,420,900,2
Null,VEH_335,3,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B498058_001,VEH_335,4,D_3,Null,Null,Null,Null,No,21.89,420,900,4
Null,VEH_336,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18408012,VEH_336,2,D_362,Null,Null,Null,Null,No,17.96,420,900,2
20230516B498946_001,VEH_336,3,D_1,Null,Null,Null,Null,No,14.15,1080,120,4
Null,VEH_337,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18408045,VEH_337,2,D_286,Null,Null,Null,Null,No,28.84,420,900,2
Null,VEH_337,3,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B495551_001,VEH_337,4,D_171,Null,Null,Null,Null,No,29.21,420,900,5
Null,VEH_338,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18408192,VEH_338,2,D_947,Null,Null,Null,Null,No,28.19,600,1020,4
Null,VEH_338,3,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B497505_001,VEH_338,4,D_37,Null,Null,Null,Null,No,25.63,600,1020,5
Null,VEH_339,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18408197,VEH_339,2,D_312,Null,Null,Null,Null,No,20.04,600,1020,4
Null,VEH_340,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18408223,VEH_340,2,D_317,Null,Null,Null,Null,No,17.53,600,1020,4
Null,VEH_341,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
MF2305256364833,VEH_341,2,D_2619,Null,Null,Null,Null,No,23.08,600,1020,4
Null,VEH_342,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
MF2305156298393,VEH_342,2,D_1245,Null,Null,Null,Null,No,18.26,600,1020,3
20230516B499571_001,VEH_342,3,D_233,Null,Null,Null,Null,No,22.21,780,1080,4
Null,VEH_343,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18406245,VEH_343,2,D_273,Null,Null,Null,Null,No,25.97,600,1020,2
Null,VEH_343,3,O_800,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B497293_001,VEH_343,4,D_137,Null,Null,Null,Null,No,25.65,600,1020,5
Null,VEH_344,1,O_537,2023-05-16 00:00,0,0,2023-05-16 00:00,Null,0.0,0,1440,-1
M18407968,VEH_344,2,D_425,Null,Null,Null,Null,No,23.9,600,1020,2
M18408282,VEH_344,3,D_456,Null,Null,Null,Null,No,16.68,1080,120,4
Null,VEH_345,1,O_537,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
M18407303,VEH_345,2,D_404,Null,Null,Null,Null,No,28.31,600,1020,5
M18407982,VEH_345,3,D_523,Null,Null,Null,Null,No,12.68,1080,120,5
Null,VEH_346,1,O_537,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
M18408275,VEH_346,2,D_282,Null,Null,Null,Null,No,27.3,600,1020,5
M18408193,VEH_346,3,D_947,Null,Null,Null,Null,No,13.07,0,360,5
Null,VEH_347,1,O_537,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
20230516B499583_001,VEH_347,2,D_109,Null,Null,Null,Null,No,25.37,600,1020,4
M18408238,VEH_347,3,D_950,Null,Null,Null,Null,No,14.51,420,900,5
Null,VEH_348,1,O_537,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
N_20230516939241,VEH_348,2,D_109,Null,Null,Null,Null,No,25.91,600,1020,4
M18408283,VEH_348,3,D_548,Null,Null,Null,Null,No,10.76,0,360,5
